"","Case","l_sub","a_poly","b_poly","c_poly","c_star","t_star","r_sea","m_str","m_con","a_ppl","d_i","r_str","r_con","r_ppl","r","slr","rate_op1","rate_op2","rate_op3","rate_op4"
"184",184,0,0,3.38,0.062,11.95,72,1,0,0.08,-0.12,-0.02,8e-04,0,-0.004,0.099,1.32,25,46,80,80
"185",185,0,0,2.09,0.007,12.28,94,0.93,0.02,-0.06,0.44,-0.06,7e-04,1e-04,0.003,0.075,1.7,26,29,81,79
"186",186,0,0,0.94,0.057,8.41,39,0.91,-0.04,-0.1,-0.21,0.01,7e-04,-2e-04,0,0.059,1.15,28,34,39,56
"187",187,0,0,1.02,0.02,11.55,76,0.82,-0.06,0.06,-0.05,0.09,-8e-04,-4e-04,0,0.075,1.88,49,44,60,37
"188",188,0,0,3.08,0.036,16.39,37,0.91,0.07,0.08,0.03,-0.06,4e-04,9e-04,-0.001,0.04,0.34,35,39,59,50
"189",189,0,0,2.07,0.023,14.02,59,0.83,0.05,-0.05,0.05,-0.06,-5e-04,2e-04,0,0.035,0.78,30,48,30,66
"190",190,0,0,3.17,0.035,16.93,72,0.81,0.05,0.09,0.46,0.04,-4e-04,0,-0.003,0.043,0.86,32,25,87,61
"191",191,0,0,3.49,0.011,16.25,99,0.83,0.06,0.05,-0.1,-0.09,-4e-04,-7e-04,0,0.057,1.08,43,26,45,58
"192",192,0,0,2.83,0.041,0.15,77,0.92,0.03,0.03,0.16,-0.05,8e-04,-1e-04,0.004,0.071,1.71,27,49,84,33
"193",193,0,0,2.04,-0.001,17.14,66,0.83,-0.07,-0.07,0.02,-0.05,4e-04,-2e-04,0.001,0.088,1.89,31,33,55,95
"194",194,0,0,1.81,0,10.44,64,0.84,0.03,0.03,-0.03,-0.02,8e-04,-5e-04,0.004,0.043,1.17,29,28,48,42
"195",195,0,0,2.84,0.048,10.62,55,0.98,-0.06,0.06,0.46,0.06,-5e-04,4e-04,-0.004,0.042,0.74,27,28,66,53
"196",196,0,0,1.43,0.006,6.06,86,0.92,0.04,0,0.42,-0.03,-9e-04,5e-04,0.004,0.043,1.2,37,44,88,63
"197",197,0,0,2.17,0.057,11.79,87,1,-0.03,-0.08,-0.26,-0.08,1e-04,-6e-04,0.005,0.073,0.93,41,32,66,46
"198",198,0,0,3.23,0.056,7.93,54,0.95,0.09,0.08,-0.2,-0.05,-5e-04,1e-04,-0.001,0.032,1.5,49,39,86,87
"199",199,0,0,3.21,0.062,7.18,59,0.81,0.06,-0.07,-0.07,0.09,9e-04,-4e-04,0.004,0.043,1.59,46,33,48,78
"200",200,0,0,2.23,0.061,1.6,56,0.98,0.08,0.08,-0.09,-0.03,5e-04,2e-04,-0.004,0.069,0.8,47,39,73,83
"201",201,0,0,1.85,0.014,15.14,65,0.88,-0.06,-0.03,-0.03,0.09,1e-04,4e-04,0.004,0.046,1.82,37,38,34,39
"202",202,0,0,0.98,0.03,7.36,55,0.91,-0.05,-0.03,0.12,0.02,7e-04,-5e-04,-0.001,0.098,1.06,29,41,42,77
"203",203,0,0,2.86,0.06,15.4,46,0.84,0.01,0.08,0.07,0.02,3e-04,1e-04,-0.004,0.056,1.28,42,44,36,70
"204",204,0,0,1.86,0.06,9.36,84,0.93,-0.06,0.02,0.46,0.05,9e-04,-8e-04,0.001,0.03,0.04,38,40,69,55
"205",205,0,0,3.51,0.001,17.83,44,0.89,-0.02,-0.09,-0.05,-0.09,3e-04,-7e-04,0.004,0.1,1.69,34,29,83,49
"206",206,0,0,1.08,0.023,4.81,94,0.9,-0.07,-0.01,0.03,0.08,-5e-04,2e-04,-0.003,0.061,1.53,35,43,77,79
"207",207,0,0,3.56,0.002,3.31,49,0.83,0.1,0.05,-0.47,0.08,4e-04,-5e-04,-0.002,0.073,1.46,27,28,60,34
"208",208,0,0,2.6,0.069,10.08,99,0.81,-0.08,-0.02,-0.13,0.05,7e-04,-8e-04,-0.004,0.038,1.21,39,39,77,65
"209",209,0,0,1.95,0.039,3.37,93,0.92,0.05,-0.02,0.23,-0.01,-3e-04,-8e-04,-0.004,0.059,0.44,26,36,65,27
"210",210,0,0,1.27,0.011,4.69,94,0.93,-0.07,-0.08,-0.27,0.05,1e-04,-3e-04,-0.003,0.096,1.85,40,44,51,86
"211",211,0,0,1.22,0.048,10.59,55,0.96,0.01,-0.09,-0.22,-0.05,-6e-04,1e-04,0.002,0.048,1.68,39,40,43,66
"212",212,0,0,3.41,0.002,11.62,88,0.91,0.08,0.09,-0.02,-0.04,-0.001,7e-04,0.003,0.095,1.37,35,33,62,25
"213",213,0,0,3.54,0.027,16.97,44,0.89,-0.02,-0.07,-0.16,-0.03,-0.001,-7e-04,0,0.093,0.54,42,44,77,54
"214",214,0,0,2.75,0.041,7.54,65,0.85,-0.02,-0.09,0.27,0.07,-0.001,-2e-04,0.003,0.059,1.51,45,27,32,41
"215",215,0,0,3.44,-0.004,19.92,81,0.97,-0.09,0.09,-0.07,-0.04,2e-04,6e-04,-0.005,0.042,1.32,35,33,36,61
"216",216,0,0,2.96,0.061,8.98,93,0.88,-0.09,-0.1,-0.21,0.03,-6e-04,3e-04,0.002,0.037,0.18,28,44,30,29
"217",217,0,0,2.61,0.022,10.96,80,0.81,0.01,0.09,0.22,0.04,1e-04,-4e-04,0.004,0.067,1.78,31,31,86,36
"218",218,0,0,1.64,0.068,16.79,66,0.99,-0.07,-0.08,-0.5,-0.05,8e-04,6e-04,0.004,0.096,0.59,39,50,48,29
"219",219,0,0,3.62,0.035,8.15,87,0.95,-0.04,-0.03,-0.43,-0.08,7e-04,0,-0.002,0.038,1.91,37,37,74,85
"220",220,0,0,2.74,0.04,17.69,47,0.9,-0.09,0.08,0.45,-0.02,-9e-04,-9e-04,-0.005,0.048,1.82,44,41,91,91
"221",221,0,0,2.03,0.067,0.16,98,0.89,0.02,0.02,-0.42,0,-1e-04,-3e-04,-0.002,0.072,0,28,35,28,88
"222",222,0,0,2.73,0.061,6.28,74,0.96,0.05,0.07,-0.19,-0.03,9e-04,-2e-04,0.001,0.072,1.34,30,45,64,76
"223",223,0,0,3.52,0.018,3.3,58,0.93,0,-0.04,-0.44,-0.09,2e-04,-4e-04,0.003,0.079,2,28,40,78,31
"224",224,0,0,1.67,0.008,0.2,74,0.93,-0.07,0.09,0.44,-0.05,0.001,-5e-04,0.005,0.073,1.67,44,28,63,57
"225",225,0,0,1.45,0.041,14.51,67,0.84,0.04,-0.07,0.44,-0.04,-7e-04,3e-04,0.002,0.032,1.47,35,37,65,57
"226",226,0,0,3.47,0.018,6.52,38,0.89,-0.09,0.06,0.08,-0.01,-1e-04,9e-04,0.003,0.052,1.19,36,32,79,57
"227",227,0,0,3.14,0.049,16.64,53,0.91,0.04,0.01,0.1,-0.04,4e-04,5e-04,-0.003,0.063,0.12,37,40,53,48
"228",228,0,0,1.18,0.006,15.75,53,0.83,-0.01,0.08,-0.04,0.04,-4e-04,-6e-04,-0.001,0.087,1.5,38,40,53,66
"229",229,0,0,3,0.026,12.8,85,0.82,-0.01,0,-0.45,-0.01,-5e-04,-5e-04,0.003,0.046,1.02,29,49,53,40
"230",230,0,0,3.72,0.028,11.57,78,0.87,0.03,-0.08,-0.23,0.03,6e-04,-8e-04,-0.002,0.04,0.72,38,49,41,38
"231",231,0,0,3.37,0.004,16.79,36,0.86,-0.1,0.05,-0.34,0.06,-4e-04,-3e-04,-0.002,0.043,0.38,46,26,32,41
"232",232,0,0,1.21,0.018,5.73,95,0.89,0.08,-0.04,-0.31,-0.03,2e-04,-6e-04,0.002,0.065,0.8,28,38,84,70
"233",233,0,0,2.56,0.025,17.52,62,0.95,0.01,0.04,-0.4,0.05,2e-04,7e-04,-0.002,0.052,0.94,38,33,61,48
"234",234,0,0,3.21,0.064,4.94,66,0.97,-0.03,-0.04,0.11,-0.02,-1e-04,-7e-04,0,0.082,0.07,26,33,80,90
"235",235,0,0,2.58,0.038,8.09,66,0.99,-0.05,-0.03,-0.16,0.03,0,8e-04,-0.004,0.079,0.64,39,42,33,50
"236",236,0,0,2.34,0.002,12.46,97,0.85,0.07,0.01,-0.18,0.07,-3e-04,7e-04,-0.003,0.08,1.81,44,31,61,72
"237",237,0,0,3.3,0.004,1.49,49,0.93,0.03,0.05,-0.12,-0.03,8e-04,0,-0.002,0.069,1.11,38,33,58,74
"238",238,0,0,1.75,0.052,13.78,91,0.82,0.01,-0.02,-0.34,0.06,-4e-04,-6e-04,0.001,0.087,0.62,32,44,63,88
"239",239,0,0,3.16,0.062,3.01,73,0.95,-0.1,-0.05,-0.17,0.01,-2e-04,-7e-04,0.001,0.08,1.9,39,28,37,55
"240",240,0,0,0.96,0.02,19.57,44,0.93,-0.1,0.01,0.11,0.02,3e-04,6e-04,0.003,0.047,0.79,43,27,43,68
"241",241,0,0,1.54,0.06,11.26,99,0.95,-0.02,-0.02,0.44,0.05,6e-04,3e-04,0.001,0.097,1.94,30,46,68,44
"242",242,0,0,3.04,0.059,7.48,75,0.96,0,0.03,-0.11,0.04,5e-04,4e-04,-0.005,0.076,0.06,45,40,72,76
"243",243,0,0,1.67,0.042,3.71,63,0.8,0.08,0.04,0.38,-0.08,2e-04,-7e-04,0.003,0.083,0.85,44,43,35,56
"244",244,0,0,1.37,0.04,18.8,40,0.83,-0.09,-0.07,0.03,0.08,7e-04,5e-04,-0.002,0.054,0.82,43,38,43,88
"245",245,0,0,2.64,0.024,8.21,85,0.85,-0.05,0.07,0.08,-0.03,-9e-04,-8e-04,-0.004,0.095,0.58,35,46,28,66
"246",246,0,0,1.41,0.028,9.54,63,0.93,0.02,0.07,-0.11,0.06,-1e-04,7e-04,0.005,0.051,1.74,47,47,68,65
"247",247,0,0,2.62,0.038,8.34,47,0.96,0.09,-0.04,0,-0.08,9e-04,4e-04,-0.001,0.095,1.98,38,27,77,67
"248",248,0,0,2.25,0.051,13.38,99,0.96,-0.02,-0.09,-0.33,-0.08,-8e-04,8e-04,0.005,0.091,0.28,27,26,29,32
"249",249,0,0,2.03,0.003,18.01,51,0.97,0.04,-0.05,-0.42,0.08,-1e-04,8e-04,-0.001,0.091,0.15,27,30,58,91
"250",250,0,0,3.7,0.028,16.06,37,0.91,-0.1,-0.04,-0.44,0.08,7e-04,9e-04,0,0.076,0.9,41,47,84,31
"251",251,0,0,3.26,0.04,2.7,55,0.87,-0.02,-0.1,0.03,-0.03,-1e-04,-3e-04,-0.005,0.083,1.06,46,33,69,73
"252",252,0,0,3.6,-0.001,8.28,76,0.81,0.09,0.04,0.46,-0.1,-3e-04,0,-0.004,0.082,0.04,41,44,91,87
"253",253,0,0,3.49,-0.003,15.9,44,0.9,-0.05,0.04,0.23,-0.09,1e-04,-1e-04,0.003,0.037,1.88,38,39,84,89
"254",254,0,0,2.91,0.041,9.02,80,0.92,0.05,-0.06,0.25,-0.06,4e-04,8e-04,0,0.059,1.58,27,34,86,53
"255",255,0,0,3.26,0.025,6.19,34,0.95,0.01,0.09,0.39,-0.08,-8e-04,-6e-04,0.004,0.098,0.84,46,49,47,63
"256",256,0,0,1.39,0.047,19.74,69,0.9,0.06,-0.06,-0.38,0.01,-5e-04,-5e-04,0.001,0.049,1.1,48,36,67,50
"257",257,0,0,2.68,0.016,13.94,100,0.97,-0.1,-0.09,0,0.06,-9e-04,1e-04,-0.002,0.046,1.47,31,32,30,79
"258",258,0,0,2.83,0.02,4.86,63,0.86,-0.03,-0.08,-0.13,-0.03,-7e-04,-1e-04,-0.002,0.071,0.06,33,40,39,81
"259",259,0,0,3.28,0.014,8.16,82,0.85,0.05,0.1,0.4,0.02,3e-04,-8e-04,-0.001,0.076,1.1,44,45,34,73
"260",260,0,0,1.58,0.006,9.39,90,0.96,0.05,0.02,-0.39,0.01,0,0,-0.001,0.038,1.43,38,29,86,35
"261",261,0,0,1.7,0.065,11.01,78,0.95,-0.09,0.05,0.42,0.09,-7e-04,6e-04,0.005,0.042,0.79,35,36,44,47
"262",262,0,0,2.05,0.001,19.72,73,0.92,0.02,0.07,-0.4,0.04,-4e-04,6e-04,-0.004,0.03,1.78,34,46,59,60
"263",263,0,0,1.14,0.063,5.7,69,0.95,-0.07,0.04,-0.37,-0.09,-1e-04,5e-04,-0.003,0.048,1.32,32,48,92,78
"264",264,0,0,2.1,0.047,11.06,41,0.93,0.1,-0.01,0.1,0.08,-1e-04,-8e-04,0.005,0.071,0.9,45,47,64,49
"265",265,0,0,1.07,0.049,0.92,35,0.81,-0.08,-0.02,-0.13,-0.03,9e-04,-5e-04,-0.003,0.073,1,27,28,88,46
"266",266,0,0,3.09,0.047,6.56,79,0.84,0.09,0.01,0.03,-0.01,4e-04,-1e-04,0,0.065,1.91,30,36,89,47
"267",267,0,0,2.64,0.036,3.47,52,0.97,0.03,-0.03,0.27,0.05,-2e-04,6e-04,-0.001,0.055,0.64,38,43,77,91
"268",268,0,0,1.4,0.014,7.63,49,0.99,0.01,-0.08,-0.17,-0.1,1e-04,2e-04,0,0.044,1.4,35,28,44,36
"269",269,0,0,1.06,0.025,5.46,90,0.98,0.05,0.02,0.18,-0.01,5e-04,0.001,0.001,0.055,1.98,28,40,45,89
"270",270,0,0,3.47,0.045,0.94,71,0.97,-0.04,-0.03,-0.01,-0.06,-6e-04,2e-04,-0.001,0.047,0.59,34,45,53,40
"271",271,0,0,1.43,0.062,14.06,43,0.95,-0.04,0.09,-0.13,-0.04,5e-04,2e-04,-0.002,0.05,0.6,25,34,56,37
"272",272,0,0,3.13,0.015,14.86,97,0.87,0.07,-0.02,0.34,-0.02,6e-04,-5e-04,-0.004,0.054,0.16,29,34,43,72
"273",273,0,0,2.04,0.065,13.03,81,0.82,-0.01,-0.05,0.06,0.09,-1e-04,-3e-04,-0.004,0.068,0.52,31,31,25,40
"274",274,0,0,1.93,0.019,6.28,46,0.87,-0.04,0.09,0.05,-0.09,-6e-04,-2e-04,-0.004,0.042,1.53,41,29,41,52
"275",275,0,0,1.39,0.029,18.35,77,0.97,0.01,-0.08,0.39,0.04,4e-04,-9e-04,0,0.057,0.65,42,41,66,78
"276",276,0,0,3.22,0.019,2.17,90,0.89,-0.06,0.02,0.48,-0.1,7e-04,0,0,0.095,1.73,36,29,86,91
"277",277,0,0,0.92,0.036,1.62,50,0.94,0.02,-0.06,-0.12,0.07,8e-04,5e-04,-0.001,0.091,0.47,31,40,61,38
"278",278,0,0,2.33,0.043,15,90,0.88,-0.03,-0.06,-0.13,0.04,3e-04,-6e-04,0.003,0.065,1.87,29,26,58,74
"279",279,0,0,2.7,0.054,6.32,85,0.94,-0.02,0.08,0.29,-0.02,-2e-04,1e-04,-0.001,0.094,1.1,29,40,35,37
"280",280,0,0,1.57,0.061,3.56,71,0.85,0.03,-0.1,-0.26,-0.03,-2e-04,-4e-04,0.004,0.06,1.82,28,30,58,25
"281",281,0,0,3.22,-0.003,19.06,37,0.89,0.07,-0.05,-0.3,-0.1,0,-2e-04,0,0.039,0.67,37,43,69,41
"282",282,0,0,1.5,0.009,16.61,72,0.98,-0.02,-0.03,0.39,0.02,2e-04,-8e-04,0.005,0.058,1.6,36,30,85,63
"283",283,0,0,0.91,0.037,10.61,97,0.95,-0.07,-0.01,-0.09,0.06,5e-04,6e-04,0.001,0.059,0.28,35,34,45,42
"284",284,0,0,3.39,0.058,4.99,91,0.89,0.08,0.03,0.08,-0.08,-3e-04,6e-04,-0.003,0.055,0.69,43,49,82,76
"285",285,0,0,2.49,0.014,19.98,73,0.88,-0.06,-0.01,0.25,-0.03,0.001,-5e-04,0,0.055,1.44,34,35,89,57
"286",286,0,0,1.93,0.016,2.09,37,0.85,-0.08,-0.03,0.01,0.04,-1e-04,-9e-04,-0.002,0.074,2,33,35,33,45
"287",287,0,0,2.09,0.031,4.85,60,0.83,0.08,0.05,0.18,-0.1,8e-04,5e-04,0.003,0.085,1.25,26,42,32,52
"288",288,0,0,1.03,0.06,7.5,45,0.81,-0.02,0.1,-0.27,0.05,4e-04,-2e-04,0.001,0.077,1.46,31,30,78,47
"289",289,0,0,1.38,0.014,17.2,93,0.83,0.03,0,0.47,0.08,3e-04,1e-04,0.004,0.083,0.13,35,46,31,71
"290",290,0,0,3.05,0.03,9.71,87,0.97,0.03,-0.08,0.21,0,1e-04,1e-04,0,0.076,1.83,33,41,84,79
"291",291,0,0,2.83,0.003,3.94,81,0.89,0.02,0.01,0.01,0,-8e-04,5e-04,-0.001,0.069,1.1,30,39,37,84
"292",292,0,0,2.88,0.035,12.09,58,0.82,-0.1,-0.04,0.46,-0.01,3e-04,4e-04,0.005,0.046,1.87,34,43,41,65
"293",293,0,0,3.34,0.025,18.64,80,0.94,0.02,0.03,-0.15,-0.03,-2e-04,4e-04,0.001,0.098,1.26,39,32,64,26
"294",294,0,0,2.61,0.002,7.98,89,0.95,-0.08,0.08,0.41,0.07,0.001,0.001,-0.005,0.056,1.83,27,44,91,69
"295",295,0,0,2.87,0.037,16.82,84,0.8,-0.07,0.05,0.13,-0.08,-5e-04,6e-04,0.004,0.036,1.07,30,46,41,35
"296",296,0,0,2.75,0.001,11.36,84,0.87,-0.05,0.02,-0.17,-0.01,-2e-04,-1e-04,-0.001,0.069,1.45,46,46,28,36
"297",297,0,0,0.92,0.005,0.78,74,0.99,-0.07,0,0.09,-0.05,-6e-04,-3e-04,0,0.05,0.16,26,48,27,40
"298",298,0,0,2.72,-0.001,7.63,41,1,0.06,0.07,0.07,0,-9e-04,5e-04,-0.003,0.089,1.68,30,27,83,69
"299",299,0,0,3.53,0.043,16.02,79,0.94,-0.01,0.05,0.09,0.04,4e-04,-5e-04,-0.005,0.09,0.61,44,26,74,29
"300",300,0,0,1.47,0.036,7.01,60,0.81,0.01,0.01,-0.38,0,-8e-04,-8e-04,-0.004,0.035,0.22,39,41,28,56
"301",301,0,0,0.94,0.015,13.48,94,0.83,0.06,0.05,0.2,0.05,7e-04,0,0.003,0.064,0.22,27,48,29,43
"302",302,0,0,2.59,0.01,13.99,100,0.99,0.06,-0.04,0.23,0.08,3e-04,2e-04,0.003,0.076,1.2,41,27,54,77
"303",303,0,0,1.37,0.036,1.31,71,0.86,-0.01,0.06,-0.33,-0.04,-0.001,7e-04,0.001,0.098,0.19,33,46,51,46
"304",304,0,0,3.59,0.053,9.57,79,0.96,0.01,0.01,-0.09,0,-4e-04,0,0.002,0.097,1.83,29,39,62,34
"305",305,0,0,1.27,0.069,12.47,91,0.9,-0.03,-0.04,-0.44,0.06,4e-04,-0.001,0.002,0.055,1.53,39,36,30,41
"306",306,0,0,1,0.03,2.44,90,0.83,0.07,-0.05,0.01,0.08,-5e-04,7e-04,-0.002,0.038,0.86,34,40,41,64
"307",307,0,0,3.42,0.043,4.11,86,0.88,-0.01,-0.05,0.42,-0.08,7e-04,-3e-04,0.001,0.031,0.97,34,31,93,41
"308",308,0,0,2.25,0.028,10.06,90,0.97,-0.04,0.06,0.44,0.01,3e-04,8e-04,0.003,0.05,1.27,46,29,56,73
"309",309,0,0,2.62,0.066,1.16,68,0.97,-0.02,-0.01,-0.15,-0.06,6e-04,-2e-04,-0.004,0.087,0.73,39,29,44,70
"310",310,0,0,1.7,0.004,5.98,37,0.82,0.04,0.03,-0.01,-0.07,4e-04,5e-04,-0.004,0.079,1.04,44,36,62,48
"311",311,0,0,1.28,0.036,14.2,96,0.96,0.1,0.08,-0.11,0.02,-4e-04,-3e-04,-0.005,0.086,1.36,45,44,91,33
"312",312,0,0,2.19,0.035,0.81,60,0.87,0,-0.02,0.02,-0.09,-1e-04,7e-04,-0.003,0.062,1.54,43,30,79,94
"313",313,0,0,1.22,0.041,13.47,90,0.98,0.09,-0.07,0.13,0.04,-7e-04,-4e-04,0.004,0.064,1.81,32,36,63,48
"314",314,0,0,2.1,0.051,15.22,67,0.95,-0.03,-0.01,-0.23,0.09,-9e-04,7e-04,-0.001,0.092,1.77,28,45,37,79
"315",315,0,0,3.69,0.011,2.32,87,0.97,0.01,0.02,-0.08,-0.07,0.001,3e-04,-0.002,0.031,0.44,32,35,85,94
"316",316,0,0,0.92,0.025,8.77,34,0.92,0.07,-0.06,-0.15,-0.06,1e-04,3e-04,0.005,0.063,0.81,47,35,92,68
"317",317,0,0,2.91,0.043,10.87,88,0.88,-0.04,-0.04,-0.04,-0.07,-5e-04,3e-04,-0.004,0.048,0.99,36,30,67,28
"318",318,0,0,1.95,0.054,14.82,72,0.94,-0.04,0.01,0.05,0.03,-4e-04,4e-04,0.003,0.037,0.57,29,35,38,29
"319",319,0,0,1.59,0,13.3,91,0.94,0.01,0.01,0.19,0.05,-2e-04,9e-04,-0.001,0.085,0.03,40,50,58,73
"320",320,0,0,3.75,0.046,15.45,79,0.81,-0.08,0.04,-0.06,0.02,-0.001,3e-04,0.002,0.048,1.12,35,49,68,32
"321",321,0,0,3.34,0.059,8.01,56,0.95,-0.04,0.03,-0.15,0.02,-8e-04,4e-04,0,0.069,1.44,38,28,50,36
"322",322,0,0,1.54,0.007,5.02,38,0.95,0.09,-0.09,-0.48,-0.05,0.001,2e-04,0.001,0.037,0.54,46,40,60,26
"323",323,0,0,1.39,0,7.1,49,0.97,0.04,-0.1,-0.47,0.1,9e-04,1e-04,-0.003,0.057,0.08,43,28,34,32
"324",324,0,0,0.95,0.013,17.5,65,0.97,-0.05,0.05,-0.05,-0.09,1e-04,5e-04,-0.001,0.071,1.46,36,42,41,52
"325",325,0,0,3.24,0.022,12.55,45,0.98,-0.08,-0.06,0.49,0.05,-2e-04,-9e-04,0.004,0.056,1.81,32,43,52,38
"326",326,0,0,2.55,0.011,0.72,34,0.8,0.03,0.04,-0.18,0,-6e-04,1e-04,0.004,0.067,0.53,39,36,83,92
"327",327,0,0,3.55,0.066,11.22,85,0.96,0.05,-0.03,0.08,-0.03,1e-04,-3e-04,-0.004,0.054,1.86,39,35,64,47
"328",328,0,0,1.85,0.031,8.94,62,0.92,0.09,0.05,0.12,0.01,-3e-04,-9e-04,0.003,0.052,0.99,25,49,73,83
"329",329,0,0,3.44,0.014,9.15,35,0.88,0.07,0.02,-0.18,0.07,-8e-04,-2e-04,0.005,0.048,1.64,29,37,70,73
"330",330,0,0,3.14,-0.005,8.61,68,0.86,0.08,-0.09,-0.5,0.07,-2e-04,5e-04,0.004,0.083,1.27,39,34,73,93
"331",331,0,0,1.66,0.012,8.1,59,0.93,-0.09,0.07,-0.14,0.03,3e-04,7e-04,-0.002,0.061,0.01,27,49,36,83
"332",332,0,0,1.04,0.041,10.1,49,0.82,0.1,0.06,-0.41,-0.01,-3e-04,-3e-04,-0.004,0.093,1.43,42,30,69,86
"333",333,0,0,0.91,0.051,4.34,34,0.87,-0.07,0.03,-0.02,-0.08,-2e-04,-6e-04,-0.001,0.077,1.15,38,26,85,45
"334",334,0,0,3.08,0.013,14.62,81,0.87,0.05,0.08,0.03,-0.06,9e-04,-2e-04,0.004,0.07,1.6,47,33,47,78
"335",335,0,0,1.96,0.008,11.46,37,0.93,0.02,0.03,-0.17,-0.04,8e-04,7e-04,0.002,0.097,0.87,49,30,32,36
"336",336,0,0,1.11,0.04,19.41,49,0.88,0.05,-0.1,0.02,-0.04,-3e-04,-4e-04,0.003,0.095,0.72,28,40,82,64
"337",337,0,0,2.57,0.011,4.52,46,0.89,0.08,-0.07,-0.21,-0.07,3e-04,6e-04,0.005,0.047,1.42,49,30,51,84
"338",338,0,0,2.26,0.041,1.49,97,0.83,0.07,-0.09,0.08,-0.03,-3e-04,4e-04,-0.005,0.039,0.31,41,25,65,62
"339",339,0,0,1.64,0.048,11.85,43,0.88,0.03,0.04,0.12,0.09,4e-04,5e-04,-0.003,0.054,1.71,26,47,87,94
"340",340,0,0,1.08,0.041,15.06,75,0.98,0.07,0.09,-0.31,0,1e-04,-6e-04,0.004,0.1,1.66,29,43,69,75
"341",341,0,0,2.66,0.059,17.9,74,0.91,-0.07,-0.01,-0.18,-0.04,-1e-04,6e-04,-0.003,0.047,0.35,47,27,42,57
"342",342,0,0,2.02,-0.003,0.79,55,0.96,-0.07,0.06,-0.35,0.08,3e-04,-4e-04,0,0.045,0.7,40,42,72,64
"343",343,0,0,1.54,0.006,11.45,76,0.95,0.01,0.06,0.01,0.08,-9e-04,-0.001,0.002,0.034,1.22,32,45,55,93
"344",344,0,0,3.36,0.015,6.21,59,0.81,-0.01,-0.06,0.02,-0.08,-1e-04,7e-04,-0.001,0.086,1.17,45,48,26,76
"345",345,0,0,1.31,0.063,16.14,69,0.95,0.03,-0.03,-0.12,-0.07,-3e-04,1e-04,-0.001,0.087,0.77,37,33,54,31
"346",346,0,0,1.54,0.006,2.62,74,0.81,0.01,-0.09,0.08,0.01,9e-04,0.001,0,0.099,1.83,33,38,32,51
"347",347,0,0,1.53,-0.002,10.39,74,0.8,0.08,-0.05,0.16,-0.08,-8e-04,6e-04,0.002,0.059,0.55,30,45,71,59
"348",348,0,0,2.12,0.061,19.31,52,0.97,0.05,0.1,0.37,-0.08,8e-04,7e-04,0,0.037,1.39,26,30,50,66
"349",349,0,0,2.17,0.042,11.39,54,0.94,0.06,0.04,0.39,0.08,-3e-04,3e-04,-0.004,0.1,0.5,27,42,93,91
"350",350,0,0,1,0.018,2.83,42,0.97,-0.08,-0.02,0.49,0.03,-9e-04,-6e-04,-0.001,0.033,0.63,45,26,60,51
"351",351,0,0,2.21,0.026,5.23,47,1,0.04,0.07,-0.42,-0.05,-7e-04,-5e-04,0.003,0.035,1.93,33,33,85,91
"352",352,0,0,3.38,0.029,18.53,70,0.91,0.04,0.05,-0.41,0.04,4e-04,-6e-04,-0.003,0.04,1.06,48,28,54,57
"353",353,0,0,2.84,0.014,7.38,43,0.89,-0.01,-0.01,-0.16,-0.06,1e-04,-7e-04,0.001,0.05,0.54,28,34,27,50
"354",354,0,0,3.39,0.03,7.11,62,0.83,0.09,0.02,-0.46,-0.01,1e-04,7e-04,0,0.035,0.64,31,42,72,88
"355",355,0,0,3.66,0.047,7.91,56,0.93,-0.07,0.1,-0.38,-0.01,0,0.001,0.004,0.084,0.72,35,31,70,40
"356",356,0,0,2.13,0.004,9.17,39,0.83,0.08,-0.02,-0.22,-0.04,8e-04,5e-04,-0.004,0.082,0.06,26,36,49,90
"357",357,0,0,3.57,-0.004,19.59,43,0.91,0.04,0.1,-0.42,0.02,-5e-04,0,0.002,0.05,1.28,29,33,46,28
"358",358,0,0,1.71,0.038,5.9,76,0.83,-0.06,0.05,-0.15,-0.1,5e-04,9e-04,0.002,0.091,0.79,43,31,29,51
"359",359,0,0,1.37,0,17.91,66,0.85,-0.06,0,0.33,0.06,-6e-04,-8e-04,-0.004,0.076,1.58,47,45,46,87
"360",360,0,0,2.67,0.056,6.94,57,0.98,-0.06,-0.08,0.4,0.1,-4e-04,-3e-04,-0.003,0.048,0.26,37,33,57,74
"361",361,0,0,3.05,0.062,13.12,66,0.8,-0.09,-0.05,-0.1,0.04,-9e-04,-5e-04,-0.005,0.07,1.88,46,39,68,83
"362",362,0,0,3.68,0.027,15.34,47,0.92,0,-0.07,-0.3,0.05,-1e-04,-6e-04,-0.003,0.036,1.9,34,43,51,94
"363",363,0,0,1.77,0.012,1.92,50,0.82,0.08,-0.07,0.11,0.01,4e-04,-9e-04,0.001,0.082,1.45,48,45,47,54
"364",364,0,0,1.08,0.057,11.16,51,0.88,-0.01,0.04,0.14,-0.01,4e-04,3e-04,-0.004,0.049,0.03,31,44,38,59
"365",365,0,0,3.71,-0.001,18.34,69,0.92,-0.09,0.08,-0.36,-0.08,-7e-04,-8e-04,0,0.097,0.09,28,38,95,72
"366",366,0,0,3.11,0.06,15.36,77,0.98,-0.05,-0.07,0.29,0.05,-4e-04,3e-04,-0.003,0.055,0.02,29,29,46,41
"367",367,0,0,1.25,0.052,11.45,99,0.84,-0.08,-0.04,-0.06,-0.09,4e-04,-0.001,0.001,0.038,0.15,46,25,67,63
